consulta,candidato,votos,tot_mpio,p_mpio,depto,cod_depto,municipio,cod_mun
Derecha,Marta_L_Ramirez,4661,25419,18.33667729,ANTIOQUIA,5,SABANETA,5631
Derecha,Alejandro_Ordonez,691,25419,2.718438963,ANTIOQUIA,5,SABANETA,5631
Izquierda,Gustavo_Petro,1872,25419,7.36456981,ANTIOQUIA,5,SABANETA,5631
Izquierda,Carlos_Caicedo,815,25419,3.206263032,ANTIOQUIA,5,SABANETA,5631
Derecha,Ivan_Duque,1651,1970,83.8071066,ANTIOQUIA,5,SALGAR,5642
Derecha,Marta_L_Ramirez,180,1970,9.137055838,ANTIOQUIA,5,SALGAR,5642
Derecha,Alejandro_Ordonez,71,1970,3.604060914,ANTIOQUIA,5,SALGAR,5642
Izquierda,Gustavo_Petro,47,1970,2.385786802,ANTIOQUIA,5,SALGAR,5642
Izquierda,Carlos_Caicedo,21,1970,1.065989848,ANTIOQUIA,5,SALGAR,5642
Derecha,Ivan_Duque,1762,2598,67.82140108,ANTIOQUIA,5,SAN CARLOS,5649
Derecha,Marta_L_Ramirez,437,2598,16.82063125,ANTIOQUIA,5,SAN CARLOS,5649
Derecha,Alejandro_Ordonez,224,2598,8.622016936,ANTIOQUIA,5,SAN CARLOS,5649
Izquierda,Gustavo_Petro,146,2598,5.619707467,ANTIOQUIA,5,SAN CARLOS,5649
Izquierda,Carlos_Caicedo,29,2598,1.116243264,ANTIOQUIA,5,SAN CARLOS,5649
Derecha,Ivan_Duque,561,735,76.32653061,ANTIOQUIA,5,SAN FRANCISCO,5652
Derecha,Marta_L_Ramirez,85,735,11.56462585,ANTIOQUIA,5,SAN FRANCISCO,5652
Derecha,Alejandro_Ordonez,31,735,4.217687075,ANTIOQUIA,5,SAN FRANCISCO,5652
Izquierda,Gustavo_Petro,50,735,6.802721088,ANTIOQUIA,5,SAN FRANCISCO,5652
Izquierda,Carlos_Caicedo,8,735,1.088435374,ANTIOQUIA,5,SAN FRANCISCO,5652
Derecha,Ivan_Duque,1793,2199,81.5370623,ANTIOQUIA,5,SAN JERONIMO,5656
Derecha,Marta_L_Ramirez,260,2199,11.82355616,ANTIOQUIA,5,SAN JERONIMO,5656
Derecha,Alejandro_Ordonez,41,2199,1.864483856,ANTIOQUIA,5,SAN JERONIMO,5656
Izquierda,Gustavo_Petro,73,2199,3.319690769,ANTIOQUIA,5,SAN JERONIMO,5656
Izquierda,Carlos_Caicedo,32,2199,1.455206912,ANTIOQUIA,5,SAN JERONIMO,5656
Derecha,Ivan_Duque,254,344,73.8372093,ANTIOQUIA,5,SAN JOSE DE LA MONTAÑA,5658
Derecha,Marta_L_Ramirez,45,344,13.08139535,ANTIOQUIA,5,SAN JOSE DE LA MONTAÑA,5658
Derecha,Alejandro_Ordonez,10,344,2.906976744,ANTIOQUIA,5,SAN JOSE DE LA MONTAÑA,5658
Izquierda,Gustavo_Petro,28,344,8.139534884,ANTIOQUIA,5,SAN JOSE DE LA MONTAÑA,5658
Izquierda,Carlos_Caicedo,7,344,2.034883721,ANTIOQUIA,5,SAN JOSE DE LA MONTAÑA,5658
Derecha,Ivan_Duque,729,1612,45.22332506,ANTIOQUIA,5,SAN JUAN DE URABA,5659
Derecha,Marta_L_Ramirez,94,1612,5.831265509,ANTIOQUIA,5,SAN JUAN DE URABA,5659
Derecha,Alejandro_Ordonez,30,1612,1.861042184,ANTIOQUIA,5,SAN JUAN DE URABA,5659
Izquierda,Gustavo_Petro,699,1612,43.36228288,ANTIOQUIA,5,SAN JUAN DE URABA,5659
Izquierda,Carlos_Caicedo,60,1612,3.722084367,ANTIOQUIA,5,SAN JUAN DE URABA,5659
Derecha,Ivan_Duque,1425,2515,56.66003976,ANTIOQUIA,5,SAN LUIS,5660
Derecha,Alejandro_Ordonez,763,2515,30.33797217,ANTIOQUIA,5,SAN LUIS,5660
Derecha,Marta_L_Ramirez,180,2515,7.157057654,ANTIOQUIA,5,SAN LUIS,5660
Izquierda,Gustavo_Petro,129,2515,5.129224652,ANTIOQUIA,5,SAN LUIS,5660
Izquierda,Carlos_Caicedo,18,2515,0.715705765,ANTIOQUIA,5,SAN LUIS,5660
Derecha,Ivan_Duque,2756,4080,67.54901961,ANTIOQUIA,5,SAN PEDRO,5664
Derecha,Marta_L_Ramirez,975,4080,23.89705882,ANTIOQUIA,5,SAN PEDRO,5664
Derecha,Alejandro_Ordonez,115,4080,2.818627451,ANTIOQUIA,5,SAN PEDRO,5664
Izquierda,Gustavo_Petro,179,4080,4.387254902,ANTIOQUIA,5,SAN PEDRO,5664
Izquierda,Carlos_Caicedo,55,4080,1.348039216,ANTIOQUIA,5,SAN PEDRO,5664
Derecha,Ivan_Duque,1181,1898,62.22339305,ANTIOQUIA,5,SAN PEDRO DE URABA,5665
Derecha,Marta_L_Ramirez,174,1898,9.167544784,ANTIOQUIA,5,SAN PEDRO DE URABA,5665
Derecha,Alejandro_Ordonez,40,1898,2.10748156,ANTIOQUIA,5,SAN PEDRO DE URABA,5665
Izquierda,Gustavo_Petro,453,1898,23.86722866,ANTIOQUIA,5,SAN PEDRO DE URABA,5665
Izquierda,Carlos_Caicedo,50,1898,2.634351949,ANTIOQUIA,5,SAN PEDRO DE URABA,5665
Derecha,Ivan_Duque,1105,1618,68.29419036,ANTIOQUIA,5,SAN RAFAEL,5667
Derecha,Marta_L_Ramirez,297,1618,18.35599506,ANTIOQUIA,5,SAN RAFAEL,5667
Derecha,Alejandro_Ordonez,73,1618,4.511742892,ANTIOQUIA,5,SAN RAFAEL,5667
Izquierda,Gustavo_Petro,120,1618,7.416563659,ANTIOQUIA,5,SAN RAFAEL,5667
Izquierda,Carlos_Caicedo,23,1618,1.421508035,ANTIOQUIA,5,SAN RAFAEL,5667
Derecha,Ivan_Duque,340,467,72.80513919,ANTIOQUIA,5,SAN ANDRES DE CUERQUIA,5647
Derecha,Marta_L_Ramirez,80,467,17.13062099,ANTIOQUIA,5,SAN ANDRES DE CUERQUIA,5647
Derecha,Alejandro_Ordonez,18,467,3.854389722,ANTIOQUIA,5,SAN ANDRES DE CUERQUIA,5647
Izquierda,Gustavo_Petro,24,467,5.139186296,ANTIOQUIA,5,SAN ANDRES DE CUERQUIA,5647
Izquierda,Carlos_Caicedo,5,467,1.070663812,ANTIOQUIA,5,SAN ANDRES DE CUERQUIA,5647
Derecha,Ivan_Duque,1555,2126,73.1420508,ANTIOQUIA,5,SAN ROQUE,5670
Derecha,Marta_L_Ramirez,405,2126,19.04985889,ANTIOQUIA,5,SAN ROQUE,5670
Derecha,Alejandro_Ordonez,61,2126,2.869238006,ANTIOQUIA,5,SAN ROQUE,5670
Izquierda,Gustavo_Petro,75,2126,3.527751646,ANTIOQUIA,5,SAN ROQUE,5670
Izquierda,Carlos_Caicedo,30,2126,1.411100659,ANTIOQUIA,5,SAN ROQUE,5670
Derecha,Ivan_Duque,3000,4244,70.68803016,ANTIOQUIA,5,SAN VICENTE,5674
Derecha,Marta_L_Ramirez,863,4244,20.33459001,ANTIOQUIA,5,SAN VICENTE,5674
Derecha,Alejandro_Ordonez,89,4244,2.097078228,ANTIOQUIA,5,SAN VICENTE,5674
Izquierda,Gustavo_Petro,249,4244,5.867106503,ANTIOQUIA,5,SAN VICENTE,5674
Izquierda,Carlos_Caicedo,43,4244,1.013195099,ANTIOQUIA,5,SAN VICENTE,5674
Derecha,Ivan_Duque,1707,2556,66.78403756,ANTIOQUIA,5,SANTA BARBARA,5679
Derecha,Marta_L_Ramirez,418,2556,16.35367762,ANTIOQUIA,5,SANTA BARBARA,5679
Derecha,Alejandro_Ordonez,107,2556,4.186228482,ANTIOQUIA,5,SANTA BARBARA,5679
Izquierda,Gustavo_Petro,256,2556,10.01564945,ANTIOQUIA,5,SANTA BARBARA,5679
Izquierda,Carlos_Caicedo,68,2556,2.660406886,ANTIOQUIA,5,SANTA BARBARA,5679
Derecha,Ivan_Duque,3430,5279,64.97442697,ANTIOQUIA,5,SANTA ROSA DE OSOS,5686
Derecha,Marta_L_Ramirez,1154,5279,21.8602008,ANTIOQUIA,5,SANTA ROSA DE OSOS,5686
Derecha,Alejandro_Ordonez,328,5279,6.213297973,ANTIOQUIA,5,SANTA ROSA DE OSOS,5686
Izquierda,Gustavo_Petro,273,5279,5.171433984,ANTIOQUIA,5,SANTA ROSA DE OSOS,5686
Izquierda,Carlos_Caicedo,94,5279,1.780640273,ANTIOQUIA,5,SANTA ROSA DE OSOS,5686
Derecha,Ivan_Duque,5515,8403,65.63132215,ANTIOQUIA,5,EL SANTUARIO,5697
Derecha,Marta_L_Ramirez,1235,8403,14.69713198,ANTIOQUIA,5,EL SANTUARIO,5697
Derecha,Alejandro_Ordonez,1110,8403,13.20956801,ANTIOQUIA,5,EL SANTUARIO,5697
Izquierda,Gustavo_Petro,455,8403,5.414732834,ANTIOQUIA,5,EL SANTUARIO,5697
Izquierda,Carlos_Caicedo,88,8403,1.047245032,ANTIOQUIA,5,EL SANTUARIO,5697
Derecha,Ivan_Duque,1022,1412,72.3796034,ANTIOQUIA,5,SANTO DOMINGO,5690
Derecha,Marta_L_Ramirez,254,1412,17.98866856,ANTIOQUIA,5,SANTO DOMINGO,5690
Derecha,Alejandro_Ordonez,30,1412,2.124645892,ANTIOQUIA,5,SANTO DOMINGO,5690
Izquierda,Gustavo_Petro,89,1412,6.303116147,ANTIOQUIA,5,SANTO DOMINGO,5690
Izquierda,Carlos_Caicedo,17,1412,1.203966006,ANTIOQUIA,5,SANTO DOMINGO,5690
Derecha,Ivan_Duque,434,1337,32.46073298,ANTIOQUIA,5,SEGOVIA,5736
Derecha,Marta_L_Ramirez,264,1337,19.74569933,ANTIOQUIA,5,SEGOVIA,5736
Derecha,Alejandro_Ordonez,181,1337,13.53777113,ANTIOQUIA,5,SEGOVIA,5736
Izquierda,Gustavo_Petro,399,1337,29.84293194,ANTIOQUIA,5,SEGOVIA,5736
Izquierda,Carlos_Caicedo,59,1337,4.412864622,ANTIOQUIA,5,SEGOVIA,5736
Derecha,Ivan_Duque,4294,5549,77.38331231,ANTIOQUIA,5,SONSON,5756
Derecha,Marta_L_Ramirez,749,5549,13.49792755,ANTIOQUIA,5,SONSON,5756
Derecha,Alejandro_Ordonez,270,5549,4.865741575,ANTIOQUIA,5,SONSON,5756
Izquierda,Gustavo_Petro,168,5549,3.027572536,ANTIOQUIA,5,SONSON,5756
Izquierda,Carlos_Caicedo,68,5549,1.225446026,ANTIOQUIA,5,SONSON,5756
Derecha,Ivan_Duque,1434,2014,71.20158888,ANTIOQUIA,5,SOPETRAN,5761
Derecha,Marta_L_Ramirez,322,2014,15.98808342,ANTIOQUIA,5,SOPETRAN,5761
Derecha,Alejandro_Ordonez,77,2014,3.823237339,ANTIOQUIA,5,SOPETRAN,5761
Izquierda,Gustavo_Petro,153,2014,7.596822244,ANTIOQUIA,5,SOPETRAN,5761
Izquierda,Carlos_Caicedo,28,2014,1.390268123,ANTIOQUIA,5,SOPETRAN,5761
Derecha,Ivan_Duque,1357,2081,65.20903412,ANTIOQUIA,5,TAMESIS,5789
Derecha,Marta_L_Ramirez,447,2081,21.48005766,ANTIOQUIA,5,TAMESIS,5789
Derecha,Alejandro_Ordonez,90,2081,4.324843825,ANTIOQUIA,5,TAMESIS,5789
Izquierda,Gustavo_Petro,159,2081,7.640557424,ANTIOQUIA,5,TAMESIS,5789
Izquierda,Carlos_Caicedo,28,2081,1.345506968,ANTIOQUIA,5,TAMESIS,5789
Derecha,Ivan_Duque,514,1017,50.54080629,ANTIOQUIA,5,TARAZA,5790
Derecha,Marta_L_Ramirez,129,1017,12.68436578,ANTIOQUIA,5,TARAZA,5790
Derecha,Alejandro_Ordonez,27,1017,2.654867257,ANTIOQUIA,5,TARAZA,5790
Izquierda,Gustavo_Petro,314,1017,30.87512291,ANTIOQUIA,5,TARAZA,5790
Izquierda,Carlos_Caicedo,33,1017,3.244837758,ANTIOQUIA,5,TARAZA,5790
Derecha,Ivan_Duque,527,712,74.01685393,ANTIOQUIA,5,TARSO,5792
Derecha,Marta_L_Ramirez,113,712,15.87078652,ANTIOQUIA,5,TARSO,5792
Derecha,Alejandro_Ordonez,14,712,1.966292135,ANTIOQUIA,5,TARSO,5792
Izquierda,Gustavo_Petro,50,712,7.02247191,ANTIOQUIA,5,TARSO,5792
Izquierda,Carlos_Caicedo,8,712,1.123595506,ANTIOQUIA,5,TARSO,5792
Derecha,Ivan_Duque,734,1121,65.47725245,ANTIOQUIA,5,TITIRIBI,5809
Derecha,Marta_L_Ramirez,277,1121,24.71008029,ANTIOQUIA,5,TITIRIBI,5809
Derecha,Alejandro_Ordonez,22,1121,1.962533452,ANTIOQUIA,5,TITIRIBI,5809
Izquierda,Gustavo_Petro,75,1121,6.690454951,ANTIOQUIA,5,TITIRIBI,5809
Izquierda,Carlos_Caicedo,13,1121,1.159678858,ANTIOQUIA,5,TITIRIBI,5809
Derecha,Ivan_Duque,243,370,65.67567568,ANTIOQUIA,5,TOLEDO,5819
Derecha,Marta_L_Ramirez,65,370,17.56756757,ANTIOQUIA,5,TOLEDO,5819
Derecha,Alejandro_Ordonez,10,370,2.702702703,ANTIOQUIA,5,TOLEDO,5819
Izquierda,Gustavo_Petro,46,370,12.43243243,ANTIOQUIA,5,TOLEDO,5819
Izquierda,Carlos_Caicedo,6,370,1.621621622,ANTIOQUIA,5,TOLEDO,5819
Derecha,Ivan_Duque,3798,10655,35.64523698,ANTIOQUIA,5,TURBO,5837
Derecha,Marta_L_Ramirez,982,10655,9.216330361,ANTIOQUIA,5,TURBO,5837
Derecha,Alejandro_Ordonez,260,10655,2.440168935,ANTIOQUIA,5,TURBO,5837
Izquierda,Gustavo_Petro,5079,10655,47.66776161,ANTIOQUIA,5,TURBO,5837
Izquierda,Carlos_Caicedo,536,10655,5.030502112,ANTIOQUIA,5,TURBO,5837
